team_or_player,source,publication_date,content,trust_score,classification,link
"2024 NFL odds Week 11: Lines, spreads for all 14 games",FOX Sports Digital,2024-11-11,Week 11 of the NFL season is nearly here. Check out the odds for all 14 matchups!,0.0,unknown,https://www.foxsports.com/stories/nfl/2024-nfl-odds-week-11-lines-spreads-all-14-games
"Jared Goff does the unthinkable, plus 10 more incredible stats from Week 10",FOX Sports Digital,2024-11-11,"Jared Goff pulled off an improbable win on Sunday night. FOX Sports Research broke down how, along with ten other incredible stats from Week 10.",0.0,unknown,https://www.foxsports.com/stories/nfl/jared-goff-does-unthinkable-plus-10-more-incredible-stats-from-week-10
"Kyler Murray squarely in MVP race, and what else we learned in Week 10",FOX Sports Digital,2024-11-11,FOX Sports' NFL experts identify what we learned about each team from Sunday's games and what it all means going forward.,0.0,unknown,https://www.foxsports.com/stories/nfl/week-10-takeaways-49ers-bucs-steelers-commanders-eagles-cowboys-broncos-chiefs
"Brock Purdy, 49ers SURVIVE In Christian McCaffrey's debut vs. Baker Mayfield, Bucs | NFL on FOX Pod",FOX Sports Digital,2024-11-11,"Dave Helman sits down to talk about the San Francisco 49ers' victory over the Tampa Bay Buccaneers! Within the segment, Helman breaks down Brock Purdy's performance and Christian McCaffrey making his season debut. He also makes sure to touch on Tampa Bay and Baker Mayfield.",0.0,unknown,https://www.foxsports.com/watch/fmc-x51fwehpyoaid2v9
"Russell Wilson, Pittsburgh Steelers STUN Jayden Daniels, Washington Commanders | NFL on FOX Pod",FOX Sports Digital,2024-11-11,"Dave Helman sits down to talk about the Pittsburgh Steelers' victory over the Washington Commanders! Within the discussion, Helman gushes about Mike Williams' performance and what this means for Russell Wilson & the Steelers. Helman also makes sure to discuss how Jayden Daniels and the Commanders performed in the tight loss.",0.0,unknown,https://www.foxsports.com/watch/fmc-zckbri50yrdhpdaq
"NFL Week 10 highlights: Lions storm back vs. Texans, Eagles blow out Cowboys",FOX Sports Digital,2024-11-10,"Week 10 of the NFL season continued on Sunday, starting with a matchup in Germany. Here are the top plays!",0.0,unknown,https://www.foxsports.com/live-blog/nfl/nfl-week-10-live-updates-scores-panthers-leading-giants-germany
"2024 NFL Playoff Picture: Nine teams are near-locks; Bears, Bucs fade away",FOX Sports Digital,2024-11-10,"Nine teams move closer to locking up a playoff bid, while hopes for the Bears and Buccaneers fall apart in Week 10.",0.0,unknown,https://www.foxsports.com/stories/nfl/nfl-playoff-picture-2024
Tom Brady's LFG Player of the Game for Week 10: 49ers QB Brock Purdy,FOX Sports Digital,2024-11-10,"In Week 10, Tom Brady's LFG Player of the Game went to 49ers quarterback Brock Purdy, who led his team to a last-minute win over the Bucs.",0.0,unknown,https://www.foxsports.com/stories/nfl/tom-bradys-lfg-player-game-week-10-49ers-qb-brock-purdy
"Cowboys WR CeeDee Lamb, Jerry Jones disagree about curtains at AT&T Stadium",FOX Sports Digital,2024-11-10,"CeeDee Lamb is ""1000 percent"" in favor of curtains at AT&amp;T Stadium after losing the ball in the sun, but Cowboys owner Jerry Jones disagrees.",0.0,unknown,https://www.foxsports.com/stories/nfl/cowboys-wr-ceedee-lamb-jerry-jones-disagree-about-curtains-att-stadium
Winning Tom Brady LFG Player of the Game ‘pretty special’ for 49ers QB Brock Purdy,FOX Sports Digital,2024-11-10,"Brock Purdy led a clutch final drive, which led to a 49ers victory over the Bucs and some ""pretty special"" recognition from Tom Brady.",0.0,unknown,https://www.foxsports.com/stories/nfl/winning-tom-brady-lfg-player-game-pretty-special-49ers-qb-brock-purdy
Titans vs. Chargers: Jonathan Vilma and Kenny Albert on LA's dominant win | NFL on FOX,FOX Sports Digital,2024-11-11,Jonathan Vilma and Kenny Albert break down the Los Angeles Chargers' dominant win over the Tennessee Titans in Week 10.,0.0,unknown,https://www.foxsports.com/watch/fmc-53ud53050pff5t2p
Joey Bosa on the Chargers' 27-17 win over the Titans | NFL on FOX,FOX Sports Digital,2024-11-11,Joey Bosa spoke on the Los Angeles Chargers' 27-17 win over the Tennessee Titans.,0.0,unknown,https://www.foxsports.com/watch/fmc-bevgs4j3cqgg1zkz
How Brock Purdy's connection with George Kittle reminds Tom Brady of Rob Gronkowski,FOX Sports Digital,2024-11-10,"A crucial Brock Purdy-George Kittle connection for a touchdown keyed the 49ers' win over the Buccaneers, and it sure looked familiar to the famed QB-TE duo of Tom Brady and Rob Gronkowski.",0.0,unknown,https://www.foxsports.com/stories/nfl/how-brock-purdys-connection-george-kittle-reminds-tom-brady-rob-gronkowski
"Chiefs block Broncos' potential winner as time expires, remain perfect on season",FOX Sports Digital,2024-11-10,"Chiefs LB Leo Chenal blocked Broncos kicker Wil Lutz’s 35-yard field goal attempt as time expired, extending K.C.'s win streak to 15 games.",0.0,unknown,https://www.foxsports.com/stories/nfl/chiefs-block-broncos-potential-winner-time-expires-remain-perfect-season
"Justin Herbert finds Quentin Johnston for a 16-yard TD, extending Chargers' lead over Titans",FOX Sports Digital,2024-11-10,"Justin Herbert found Quentin Johnston for a 16-yard touchdown, which extended the Los Angeles Chargers' lead over the Tennessee Titans.",0.0,unknown,https://www.foxsports.com/watch/fmc-zuyx9lzzvgvu5xin
Justin Herbert rushes for a TOUGH TD to give Chargers a 13-7 lead over Titans,FOX Sports Digital,2024-11-10,Justin Herbert rushed for a tough four-yard touchdown that gave the Los Angeles Chargers a 13-7 lead over the Tennessee Titans.,0.0,unknown,https://www.foxsports.com/watch/fmc-080qmzuziqvq8vcb
Falcons vs. Saints: Greg Olsen and Joe Davis break down Saints' 20-17 win over Falcons | NFL on FOX,FOX Sports Digital,2024-11-10,Greg Olsen and Joe Davis broke down the New Orleans Saints' narrow 20-17 victory over the Atlanta Falcons.,0.0,unknown,https://www.foxsports.com/watch/fmc-m4lelkmfh79ompad
"Vikings vs Jaguars: Dave Helman, Mark Sanchez & Adam Amin on Minnesota's gritty win | NFL on FOX Pod",FOX Sports Digital,2024-11-10,"Dave Helman, Mark Sanchez and Adam Amin break down the Minnesota Vikings' gritty win over the Jacksonville Jaguars in Week 10.",0.0,unknown,https://www.foxsports.com/watch/fmc-2njsnkikuymlb9wr
"49ers vs. Buccaneers highlights, analysis: S.F. wins on last-second field goal",FOX Sports Digital,2024-11-10,"The 49ers beat the Buccaneers on Sunday in a thrilling NFC matchup, with Tom Brady on the call. Check out all the highlights here!",0.0,unknown,https://www.foxsports.com/live-blog/nfl/49ers-vs-buccaneers-live-updates-score-top-moments-analysis
"Tom Brady breaks down Brock Purdy, 49ers' impressive win over Buccaneers | NFL on FOX",FOX Sports Digital,2024-11-10,"Tom Brady spoke with the ""NFL on FOX"" crew about the San Francisco 49ers' 23-20 win over the Tampa Bay Buccaneers.",0.0,unknown,https://www.foxsports.com/watch/fmc-4thhrxyuefweezwy
John Parker Romo on Vikings' 12-7 win vs. Jaguars: 'Great time to be a Viking',FOX Sports Digital,2024-11-10,"""Great time to be a Viking."" – John Parker Romo on the Minnesota Vikings' 12-7 win and the Jacksonville Jaguars.",0.0,unknown,https://www.foxsports.com/watch/fmc-gtr2uosw972ywgcu
Daniel Jones regrets 'very frustrating' loss after slow start vs. Panthers,FOX Sports Digital,2024-11-10,Daniel Jones and the Giants have a long journey back from Germany and a bye week to mull over what’s going wrong in a 2-8 season.,0.0,unknown,https://www.foxsports.com/stories/nfl/daniel-jones-regrets-very-frustrating-loss-after-slow-start-vs-panthers
George Kittle on the 49ers' 23-20 win over the Buccaneers: 'Just dogs all over the field',FOX Sports Digital,2024-11-10,"""Just dogs all over the field."" – George Kittle on the San Francisco 49ers' 23-20 win over Tampa Bay Buccaneers.",0.0,unknown,https://www.foxsports.com/watch/fmc-xhmcffxgpy0iws17
Derek Carr on Saints' goals following new coaching hire – 'We just want to win',FOX Sports Digital,2024-11-10,Derek Carr and Tyrann Mathieu share their thoughts with Pam Oliver following the New Orleans Saints' 20-17 win over the Atlanta Falcons.,0.0,unknown,https://www.foxsports.com/watch/fmc-r9yl4lp1zeku9qzm
Patriots vs. Bears: Daryl Johnston & Kevin Kugler break down Patriots' win over Bears | NFL on FOX,FOX Sports Digital,2024-11-10,Daryl Johnston & Kevin Kugler broke down the New England Patriots' 19-3 win over the Chicago Bears.,0.0,unknown,https://www.foxsports.com/watch/fmc-cr1g18mcmlftber5
Tom Brady's LFG Player of the Game: 49ers’ Brock Purdy | Week 10 DIGITAL EXCLUSIVE,FOX Sports Digital,2024-11-10,Tom Brady awards San Francisco 49ers QB Brock Purdy with the LFG Player of the Game after his tough win against the Tampa Bay Buccaneers.,0.0,unknown,https://www.foxsports.com/watch/fmc-wm2gt6xr6ebmvxsq
"Drake Maye: 'Just keep going' after Patriots defeat Bears, 19-3 | NFL on FOX",FOX Sports Digital,2024-11-10,"New England Patriots' Drake Maye spoke on being the ""runt of the family"" and defeating the Chicago Bears, 19-3.",0.0,unknown,https://www.foxsports.com/watch/fmc-lhaalvlcs0i1je4i
Byron Murphy & Camryn Bynum get back-to-back INTs to help seal the Vikings' 12-7 victory over the Jaguars,FOX Sports Digital,2024-11-10,Minnesota Vikings defense got back-to-back interceptions that sealed their 12-7 victory over the Jacksonville Jaguars.,0.0,unknown,https://www.foxsports.com/watch/fmc-l51y3g0t8j2uamxv
Tyrann Mathieu's clutch interception seals Saints' 20-17 victory over Falcons,FOX Sports Digital,2024-11-10,Tyrann Mathieu intercepted a pass under two minutes left in the game to seal the New Orleans Saints' 20-17 victory over the Atlanta Falcons.,0.0,unknown,https://www.foxsports.com/watch/fmc-0u0g9kl6drdbfkar
Jake Moody drills a game-winning 44-yard field goal in 49ers' 23-20 win over Buccaneers | NFL Highlights,FOX Sports Digital,2024-11-10,Jake Moody drilled a game-winning 44-yard field goal in the San Francisco  49ers' 23-20 win over the Tampa Bay Buccaneers.,0.0,unknown,https://www.foxsports.com/watch/fmc-z5s5yohrsnie9hk9
"2024 NFL odds Week 11: Lines, spreads for all 14 games",FOX Sports Digital,2024-11-11,Week 11 of the NFL season is nearly here. Check out the odds for all 14 matchups!,0.0,unknown,https://www.foxsports.com/stories/nfl/2024-nfl-odds-week-11-lines-spreads-all-14-games
"Jared Goff does the unthinkable, plus 10 more incredible stats from Week 10",FOX Sports Digital,2024-11-11,"Jared Goff pulled off an improbable win on Sunday night. FOX Sports Research broke down how, along with ten other incredible stats from Week 10.",0.0,unknown,https://www.foxsports.com/stories/nfl/jared-goff-does-unthinkable-plus-10-more-incredible-stats-from-week-10
"Kyler Murray squarely in MVP race, and what else we learned in Week 10",FOX Sports Digital,2024-11-11,FOX Sports' NFL experts identify what we learned about each team from Sunday's games and what it all means going forward.,0.0,unknown,https://www.foxsports.com/stories/nfl/week-10-takeaways-49ers-bucs-steelers-commanders-eagles-cowboys-broncos-chiefs
Lakers' Anthony Davis injures eye while blocking Jakob Poeltl's dunk attempt,FOX Sports Digital,2024-11-11,Anthony Davis went to the Los Angeles Lakers’ locker room midway through the third quarter after getting hit in the face while blocking a dunk attempt by Toronto’s Jakob Poeltl,0.0,unknown,https://www.foxsports.com/stories/nba/lakers-anthony-davis-injures-eye-while-blocking-jakob-poeltls-dunk-attempt
"Brock Purdy, 49ers SURVIVE In Christian McCaffrey's debut vs. Baker Mayfield, Bucs | NFL on FOX Pod",FOX Sports Digital,2024-11-11,"Dave Helman sits down to talk about the San Francisco 49ers' victory over the Tampa Bay Buccaneers! Within the segment, Helman breaks down Brock Purdy's performance and Christian McCaffrey making his season debut. He also makes sure to touch on Tampa Bay and Baker Mayfield.",0.0,unknown,https://www.foxsports.com/watch/fmc-x51fwehpyoaid2v9
"Russell Wilson, Pittsburgh Steelers STUN Jayden Daniels, Washington Commanders | NFL on FOX Pod",FOX Sports Digital,2024-11-11,"Dave Helman sits down to talk about the Pittsburgh Steelers' victory over the Washington Commanders! Within the discussion, Helman gushes about Mike Williams' performance and what this means for Russell Wilson & the Steelers. Helman also makes sure to discuss how Jayden Daniels and the Commanders performed in the tight loss.",0.0,unknown,https://www.foxsports.com/watch/fmc-zckbri50yrdhpdaq
"NFL Week 10 highlights: Lions storm back vs. Texans, Eagles blow out Cowboys",FOX Sports Digital,2024-11-10,"Week 10 of the NFL season continued on Sunday, starting with a matchup in Germany. Here are the top plays!",0.0,unknown,https://www.foxsports.com/live-blog/nfl/nfl-week-10-live-updates-scores-panthers-leading-giants-germany
"2024 NFL Playoff Picture: Nine teams are near-locks; Bears, Bucs fade away",FOX Sports Digital,2024-11-10,"Nine teams move closer to locking up a playoff bid, while hopes for the Bears and Buccaneers fall apart in Week 10.",0.0,unknown,https://www.foxsports.com/stories/nfl/nfl-playoff-picture-2024
Tom Brady's LFG Player of the Game for Week 10: 49ers QB Brock Purdy,FOX Sports Digital,2024-11-10,"In Week 10, Tom Brady's LFG Player of the Game went to 49ers quarterback Brock Purdy, who led his team to a last-minute win over the Bucs.",0.0,unknown,https://www.foxsports.com/stories/nfl/tom-bradys-lfg-player-game-week-10-49ers-qb-brock-purdy
"Cowboys WR CeeDee Lamb, Jerry Jones disagree about curtains at AT&T Stadium",FOX Sports Digital,2024-11-10,"CeeDee Lamb is ""1000 percent"" in favor of curtains at AT&amp;T Stadium after losing the ball in the sun, but Cowboys owner Jerry Jones disagrees.",0.0,unknown,https://www.foxsports.com/stories/nfl/cowboys-wr-ceedee-lamb-jerry-jones-disagree-about-curtains-att-stadium
Marlins hiring Dodgers 1B coach Clayton McCullough as manager (report),FOX Sports Digital,2024-11-10,A person with knowledge of the hiring told The Associated Press the Miami Marlins are hiring former Los Angeles Dodgers first-base coach Clayton McCullough as their next manager,0.0,unknown,https://www.foxsports.com/stories/mlb/marlins-hiring-dodgers-1b-coach-clayton-mccullough-manager
Joey Logano enters esteemed company with third Cup title: 'He shows up in the playoffs',FOX Sports Digital,2024-11-10,"Joey Logano made history with a performance for the ages, from a mercurial regular season to an impressive playoff run, caped with a championship at Phoenix.",0.0,unknown,https://www.foxsports.com/stories/nascar/joey-logano-esteemed-company-third-cup-series-title
Winning Tom Brady LFG Player of the Game ‘pretty special’ for 49ers QB Brock Purdy,FOX Sports Digital,2024-11-10,"Brock Purdy led a clutch final drive, which led to a 49ers victory over the Bucs and some ""pretty special"" recognition from Tom Brady.",0.0,unknown,https://www.foxsports.com/stories/nfl/winning-tom-brady-lfg-player-game-pretty-special-49ers-qb-brock-purdy
"College basketball rankings: Kansas, UConn, Alabama on top",FOX Sports Digital,2024-11-10,"FOX Sports' John Fanta offers up his top 25 rankings after the first week of the college basketball season, with Kansas and UConn at the top.",0.0,unknown,https://www.foxsports.com/stories/college-basketball/college-basketball-rankings-kansas-uconn-alabama-top
Kyle Larson on the hard-racing on the final restart | NASCAR on FOX,FOX Sports Digital,2024-11-11,Kyle Larson finished fourth. What he said about the hard racing on the final restart as he was trying to hold on for the best position possible.,0.0,unknown,https://www.foxsports.com/watch/fmc-uatkec16msqvn7wl
